100th Date,Close,MACD_diff_pytorch,Decision MACD_pytorch,SMA20_pytorch,SMA50_pytorch,Signal_pytorch,Decision GC_pytorch,RSI_pytorch,SMA200_pytorch,Decision RSI/SMA_pytorch,Decision Financial Status,Date,Decision GC_transformers,Decision MACD_transformers,Decision RSI/SMA_transformers,MACD_diff_transformers,RSI_transformers,SMA200_transformers,SMA20_transformers,SMA50_transformers,Signal_transformers
2018-01-08,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-17,False,False,False,0.0016320131520478568,0.0023117215512513667,47.58263131500001,47.4790279,47.5142687,False
2018-01-09,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-18,False,False,False,0.0016867888445919865,0.0022121687247960153,47.582303385,47.4776656,47.51197164,False
2018-01-10,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-19,False,False,False,0.001721557628540392,0.002083962271740347,47.581975625,47.4763727,47.50971568,False
2018-01-11,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-20,False,False,False,0.0017555899121574018,0.0020054127295878743,47.581647885,47.47516145,47.507511320000006,False
2018-01-12,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-23,False,False,False,0.0017870128054027178,0.001935185155090835,47.58131986,47.47403155,47.50535906,False
2018-01-16,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-24,False,False,False,0.0018288212901904181,0.0019166417942244607,47.580992775,47.47299395,47.50327332,False
2018-01-17,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-25,False,False,False,0.0018896055498836984,2.297212027929035,47.580668455,47.47206395,47.50125304,False
2018-01-18,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-26,False,False,False,0.0019497486576194687,3.7959421507821816,47.580347135000004,47.471229449999996,47.499299840000006,False
2018-01-19,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-27,False,False,False,0.0019950647410185898,4.020217204415147,47.58002727,47.47047415,47.497409180000005,False
2018-01-22,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-30,False,False,False,0.0020271004452708293,4.932789849394922,47.57970923,47.469802849999994,47.4955803,False
2018-01-23,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-03-31,False,False,False,0.002043044922387386,5.566210232874866,47.579391505000004,47.46920395,47.4938201,False
2018-01-24,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,2020-04-01,False,False,False,0.0020478786180484956,7.450405847420427,47.579073435,47.46868075,47.49213253999999,False
2018-01-25,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
2018-01-26,7.296024745116425,0.0,False,7.296024745116425,7.296024745116425,False,False,100.0,7.296024745116425,False,True,,,,,,,,,,
